ds,world,china,us,italy,korea,germany,france,japan,iran,uk
2020-01-22,17,17,0,0,0,0,0,0,0,0
2020-01-23,18,18,0,0,0,0,0,0,0,0
2020-01-24,26,26,0,0,0,0,0,0,0,0
2020-01-25,42,42,0,0,0,0,0,0,0,0
2020-01-26,56,56,0,0,0,0,0,0,0,0
2020-01-27,82,82,0,0,0,0,0,0,0,0
2020-01-28,131,131,0,0,0,0,0,0,0,0
2020-01-29,133,133,0,0,0,0,0,0,0,0
2020-01-30,171,171,0,0,0,0,0,0,0,0
2020-01-31,213,213,0,0,0,0,0,0,0,0
2020-02-01,259,259,0,0,0,0,0,0,0,0
2020-02-02,362,361,0,0,0,0,0,0,0,0
2020-02-03,426,425,0,0,0,0,0,0,0,0
2020-02-04,492,490,0,0,0,0,0,0,0,0
2020-02-05,564,562,0,0,0,0,0,0,0,0
2020-02-06,634,632,0,0,0,0,0,0,0,0
2020-02-07,719,717,0,0,0,0,0,0,0,0
2020-02-08,806,804,0,0,0,0,0,0,0,0
2020-02-09,906,904,0,0,0,0,0,0,0,0
2020-02-10,1013,1011,0,0,0,0,0,0,0,0
2020-02-11,1113,1111,0,0,0,0,0,0,0,0
2020-02-12,1118,1116,0,0,0,0,0,0,0,0
2020-02-13,1371,1368,0,0,0,0,0,1,0,0
2020-02-14,1523,1520,0,0,0,0,0,1,0,0
2020-02-15,1666,1662,0,0,0,0,1,1,0,0
2020-02-16,1770,1765,0,0,0,0,1,1,0,0
2020-02-17,1868,1863,0,0,0,0,1,1,0,0
2020-02-18,2007,2002,0,0,0,0,1,1,0,0
2020-02-19,2122,2114,0,0,0,0,1,1,2,0
2020-02-20,2247,2236,0,0,1,0,1,1,2,0
2020-02-21,2251,2236,0,1,2,0,1,1,4,0
2020-02-22,2458,2441,0,2,2,0,1,1,5,0
2020-02-23,2469,2443,0,3,6,0,1,1,8,0
2020-02-24,2629,2593,0,7,8,0,1,1,12,0
2020-02-25,2708,2663,0,10,10,0,1,1,16,0
2020-02-26,2770,2715,0,12,12,0,2,2,19,0
2020-02-27,2814,2744,0,17,13,0,2,4,26,0
2020-02-28,2872,2788,0,21,13,0,2,4,34,0
2020-02-29,2941,2835,1,29,16,0,2,5,43,0
2020-03-01,2996,2870,1,34,17,0,2,6,54,0
2020-03-02,3085,2912,6,52,28,0,3,6,66,0
2020-03-03,3160,2945,7,79,28,0,4,6,77,0
2020-03-04,3254,2981,11,107,35,0,4,6,92,0
2020-03-05,3348,3013,12,148,35,0,6,6,107,1
2020-03-06,3460,3042,14,197,42,0,9,6,124,2
2020-03-07,3558,3070,17,233,44,0,11,6,145,2
2020-03-08,3803,3097,21,366,50,0,19,6,194,3
2020-03-09,3996,3120,22,463,53,2,19,17,237,4
