ds,world,china,us,italy,korea,germany,france,japan,iran,uk
2020-01-22,555,547,1,0,1,0,0,2,0,0
2020-01-23,653,639,1,0,1,0,0,1,0,0
2020-01-24,941,916,2,0,2,0,2,2,0,0
2020-01-25,1434,1399,2,0,2,0,3,2,0,0
2020-01-26,2118,2062,5,0,3,0,3,4,0,0
2020-01-27,2927,2863,5,0,4,1,3,4,0,0
2020-01-28,5578,5494,5,0,4,4,4,7,0,0
2020-01-29,6166,6070,5,0,4,4,5,7,0,0
2020-01-30,8234,8124,5,0,4,4,5,11,0,0
2020-01-31,9927,9783,7,2,11,5,5,15,0,2
2020-02-01,12038,11871,8,2,12,8,6,20,0,2
2020-02-02,16787,16607,8,2,15,10,6,20,0,2
2020-02-03,19881,19693,11,2,15,12,6,20,0,2
2020-02-04,23892,23680,11,2,16,12,6,22,0,2
2020-02-05,27636,27409,12,2,19,12,6,22,0,2
2020-02-06,30818,30553,12,2,23,12,6,45,0,2
2020-02-07,34392,34075,12,3,24,13,6,25,0,3
2020-02-08,37121,36778,12,3,24,13,11,25,0,3
2020-02-09,40151,39790,12,3,25,14,11,26,0,3
2020-02-10,42763,42306,12,3,27,14,11,26,0,8
2020-02-11,44803,44327,13,3,28,16,11,26,0,8
2020-02-12,45222,44699,13,3,28,16,11,28,0,9
2020-02-13,60370,59832,15,3,28,16,11,28,0,9
2020-02-14,66887,66292,15,3,28,16,11,29,0,9
2020-02-15,69032,68347,15,3,28,16,12,43,0,9
2020-02-16,71226,70446,15,3,29,16,12,59,0,9
2020-02-17,73260,72364,15,3,30,16,12,66,0,9
2020-02-18,75138,74139,15,3,31,16,12,74,0,9
2020-02-19,75641,74546,15,3,31,16,12,84,2,9
2020-02-20,76199,74999,15,3,104,16,12,94,5,9
2020-02-21,76843,75472,35,20,204,16,12,105,18,9
2020-02-22,78599,76922,35,62,433,16,12,122,28,9
2020-02-23,78985,76938,35,155,602,16,12,147,43,9
2020-02-24,79570,77152,53,229,833,16,12,159,61,13
2020-02-25,80415,77660,53,322,977,17,14,170,95,13
2020-02-26,81397,78065,59,453,1261,27,18,189,139,13
2020-02-27,82756,78498,60,655,1766,46,38,214,245,15
2020-02-28,84122,78824,62,888,2337,48,57,228,388,20
2020-02-29,86013,79251,70,1128,3150,79,100,241,593,23
2020-03-01,88371,79826,76,1694,3736,130,130,256,978,36
2020-03-02,90309,80026,101,2036,4335,159,191,274,1501,40
2020-03-03,92843,80151,121,2502,5186,196,204,293,2336,51
2020-03-04,95123,80271,152,3089,5621,262,285,331,2922,85
2020-03-05,97885,80422,220,3858,6088,482,377,360,3513,115
2020-03-06,101799,80573,277,4636,6593,670,653,420,4747,163
2020-03-07,105835,80652,416,5883,7041,799,949,461,5823,206
2020-03-08,109836,80699,538,7375,7314,1040,1126,502,6566,273
2020-03-09,113583,80735,605,9172,7478,1176,1209,511,7161,321
