ds,world,china,us,italy,korea,germany,france,japan,iran,uk
2020-01-22,555,548,1,0,1,0,0,2,0,0
2020-01-23,654,643,1,0,1,0,0,2,0,0
2020-01-24,941,920,2,0,2,0,2,2,0,0
2020-01-25,1434,1406,2,0,2,0,3,2,0,0
2020-01-26,2118,2075,5,0,3,0,3,4,0,0
2020-01-27,2927,2877,5,0,4,1,3,4,0,0
2020-01-28,5578,5509,5,0,4,4,4,7,0,0
2020-01-29,6166,6087,5,0,4,4,5,7,0,0
2020-01-30,8234,8141,5,0,4,4,5,11,0,0
2020-01-31,9927,9802,7,2,11,5,5,15,0,2
2020-02-01,12038,11891,8,2,12,8,6,20,0,2
2020-02-02,16787,16630,8,2,15,10,6,20,0,2
2020-02-03,19881,19716,11,2,15,12,6,20,0,2
2020-02-04,23892,23707,11,2,16,12,6,22,0,2
2020-02-05,27635,27440,11,2,19,12,6,22,0,2
2020-02-06,30794,30587,11,2,23,12,6,22,0,2
2020-02-07,34391,34110,11,3,24,13,6,25,0,3
2020-02-08,37120,36814,11,3,24,13,11,25,0,3
2020-02-09,40150,39829,11,3,25,14,11,26,0,3
2020-02-10,42762,42354,11,3,27,14,11,26,0,8
2020-02-11,44802,44386,12,3,28,16,11,26,0,8
2020-02-12,45221,44759,12,3,28,16,11,28,0,9
2020-02-13,60368,59895,13,3,28,16,11,28,0,9
2020-02-14,66885,66358,13,3,28,16,11,29,0,9
2020-02-15,69030,68413,13,3,28,16,12,43,0,9
2020-02-16,71224,70513,13,3,29,16,12,59,0,9
2020-02-17,73258,72434,13,3,30,16,12,66,0,9
2020-02-18,75136,74211,13,3,31,16,12,74,0,9
2020-02-19,75639,74619,13,3,31,16,12,84,2,9
2020-02-20,76197,75077,13,3,104,16,12,94,5,9
2020-02-21,76819,75550,15,20,204,16,12,105,18,9
2020-02-22,78572,77001,15,62,433,16,12,122,28,9
2020-02-23,78958,77022,15,155,602,16,12,147,43,9
2020-02-24,79561,77241,51,229,833,16,12,159,61,13
2020-02-25,80406,77754,51,322,977,17,14,170,95,13
2020-02-26,81388,78166,57,453,1261,27,18,189,139,13
2020-02-27,82746,78600,58,655,1766,46,38,214,245,15
2020-02-28,84112,78928,60,888,2337,48,57,228,388,20
