ds,world,china,us,italy,korea,germany,france,japan,iran,uk
2020-02-29,86011,79356,68,1128,3150,79,100,241,593,23
2020-03-01,88369,79932,74,1694,3736,130,130,256,978,36
2020-03-02,90306,80136,98,2036,4335,159,191,274,1501,40
2020-03-03,92840,80261,118,2502,5186,196,204,293,2336,51
2020-03-04,95120,80386,149,3089,5621,262,288,331,2922,86
2020-03-05,97886,80537,217,3858,6088,482,380,360,3513,116
2020-03-06,101801,80690,262,4636,6593,670,656,420,4747,164
2020-03-07,105847,80770,402,5883,7041,799,959,461,5823,207
2020-03-08,109821,80823,518,7375,7314,1040,1136,502,6566,274
2020-03-09,113590,80860,583,9172,7478,1176,1219,511,7161,322
2020-03-10,118620,80887,959,10149,7513,1457,1794,581,8042,384
2020-03-11,125875,80921,1281,12462,7755,1908,2293,639,9000,459
2020-03-12,128352,80932,1663,12462,7869,2078,2293,639,10075,459
2020-03-13,145205,80945,2179,17660,7979,3675,3681,701,11364,802
2020-03-14,156101,80977,2727,21157,8086,4585,4496,773,12729,1144
2020-03-15,167454,81003,3499,24747,8162,5795,4532,839,13938,1145
2020-03-16,181574,81033,4632,27980,8236,7272,6683,839,14991,1551
2020-03-17,197102,81058,6421,31506,8320,9257,7715,878,16169,1960
2020-03-18,214821,81102,7783,35713,8413,12327,9124,889,17361,2642
2020-03-19,242570,81156,13747,41035,8565,15320,10970,924,18407,2716
2020-03-20,272208,81250,19273,47021,8652,19848,12758,963,19644,4014
2020-03-21,304507,81305,25600,53578,8799,22213,14463,1007,20610,5067
2020-03-22,336953,81435,33276,59138,8961,24873,16243,1101,21638,5745
2020-03-23,378231,81498,43843,63927,8961,29056,20123,1128,23049,6726
2020-03-24,418041,81591,53736,69176,9037,32986,22622,1193,24811,8164
2020-03-25,467653,81661,65778,74386,9137,37323,25600,1307,27017,9640
2020-03-26,529591,81782,83836,80589,9241,43938,29551,1387,29406,11812
2020-03-27,593291,81897,101657,86498,9332,50871,33402,1468,32332,14745
2020-03-28,660693,81999,121465,92472,9478,57695,38105,1693,35408,17312
2020-03-29,720140,82122,140909,97689,9583,62095,40708,1866,38309,19780
2020-03-30,782389,82198,161831,101739,9661,66885,45170,1866,41495,22453
2020-03-31,857487,82279,188172,105792,9786,71808,52827,1953,44605,25481
2020-04-01,932475,82361,213242,110574,9887,77872,57749,2178,47593,29865
2020-04-02,1013326,82432,243622,115242,9976,84794,59929,2495,50468,34173
2020-04-03,1095698,82511,275367,119827,10062,91159,65202,2617,53183,38689
2020-04-04,1175857,82543,308650,124632,10156,96092,69500,3139,55743,42477
2020-04-05,1249484,82602,336802,128948,10237,100123,71412,3139,58226,48436
2020-04-06,1321131,82665,366317,132547,10284,103374,75343,3654,60500,52279
2020-04-07,1396092,82718,397121,135586,10331,107663,79163,3906,62589,55949
2020-04-08,1479804,82809,428654,139422,10384,113296,83057,4257,64586,61474
2020-04-09,1565278,82883,462780,143626,10423,118181,87366,4667,66220,65872
2020-04-10,1657526,82941,496535,147577,10450,122171,91738,5530,68192,74605
2020-04-11,1735650,83014,526396,152271,10480,124908,94863,6005,70029,79874
2020-04-12,1834721,83134,555313,156363,10512,127854,121712,6748,71686,85206
2020-04-13,1904838,83213,580619,159516,10537,130072,125394,7370,73303,89570
2020-04-14,1975195,83306,607670,162488,10564,131359,130365,7645,74877,94845
2020-04-15,2055057,83356,636350,165155,10591,134753,133585,8100,76389,99483
2020-04-16,2151421,83403,667592,168941,10613,137698,146075,8626,77995,104145
2020-04-17,2239144,83760,699706,172434,10635,141397,148084,9787,79494,109769
2020-04-18,2316716,83787,732197,175925,10653,143342,148086,10296,80868,115314
2020-04-19,2400078,83805,758809,178972,10661,145184,153011,10797,82211,121172
2020-04-20,2471247,83817,784326,181228,10674,147065,155393,10797,83505,125856
2020-04-21,2548091,83853,811865,183957,10683,148291,158168,11135,84802,130172
2020-04-22,2623049,83868,840351,187327,10694,150648,155980,11512,85996,134638
2020-04-23,2707728,83884,869170,189973,10708,153129,158303,12368,87026,139246
2020-04-24,2809499,83899,905358,192994,10718,154999,159952,12829,88194,144640
2020-04-25,2896744,83909,938154,195351,10728,156513,161644,13231,89328,149569
2020-04-26,2971475,83912,965785,197675,10738,157770,162220,13441,90481,154037
