ds,world,china,us,italy,korea,germany,france,japan,iran,uk
2020-01-22,28,28,0,0,0,0,0,0,0,0
2020-01-23,30,30,0,0,0,0,0,0,0,0
2020-01-24,36,36,0,0,0,0,0,0,0,0
2020-01-25,39,39,0,0,0,0,0,0,0,0
2020-01-26,52,49,0,0,0,0,0,1,0,0
2020-01-27,61,58,0,0,0,0,0,1,0,0
2020-01-28,107,101,0,0,0,0,0,1,0,0
2020-01-29,126,120,0,0,0,0,0,1,0,0
2020-01-30,143,135,0,0,0,0,0,1,0,0
2020-01-31,222,214,0,0,0,0,0,1,0,0
2020-02-01,284,275,0,0,0,0,0,1,0,0
2020-02-02,472,463,0,0,0,0,0,1,0,0
2020-02-03,623,614,0,0,0,0,0,1,0,0
2020-02-04,852,843,0,0,0,0,0,1,0,0
2020-02-05,1124,1115,0,0,0,0,0,1,0,0
2020-02-06,1487,1477,0,0,0,0,0,1,0,0
2020-02-07,2011,1999,0,0,1,0,0,1,0,0
2020-02-08,2616,2596,0,0,1,0,0,1,0,0
2020-02-09,3244,3219,3,0,3,0,0,1,0,0
2020-02-10,3946,3918,3,0,3,0,0,4,0,0
2020-02-11,4683,4636,3,0,3,0,0,9,0,0
2020-02-12,5150,5082,3,0,7,0,2,9,0,1
2020-02-13,6295,6217,3,0,7,1,2,9,0,1
2020-02-14,8058,7977,3,0,7,1,2,9,0,1
2020-02-15,9395,9298,3,0,9,1,4,12,0,1
2020-02-16,10865,10755,3,0,9,1,4,12,0,8
2020-02-17,12583,12462,3,0,10,1,4,12,0,8
2020-02-18,14352,14206,3,0,12,12,4,13,0,8
2020-02-19,16121,15962,3,0,12,12,4,18,0,8
2020-02-20,18177,18014,3,0,16,12,4,18,0,8
2020-02-21,18890,18704,5,0,16,14,4,22,0,8
2020-02-22,22886,22699,5,1,16,14,4,22,0,8
2020-02-23,23394,23187,5,2,18,14,4,22,0,8
2020-02-24,25227,25015,5,1,18,14,4,22,0,8
2020-02-25,27905,27676,6,1,22,14,11,22,0,8
2020-02-26,30384,30084,6,3,22,15,11,22,49,8
2020-02-27,33277,32930,6,45,22,16,11,22,49,8
2020-02-28,36711,36329,7,46,22,16,11,22,73,8
2020-02-29,39782,39320,7,46,27,16,12,32,123,8
2020-03-01,42716,42162,7,83,30,16,12,32,175,8
2020-03-02,45602,44854,7,149,30,16,12,32,291,8
2020-03-03,48228,47450,7,160,30,16,12,43,291,8
2020-03-04,51170,50001,7,276,41,16,12,43,552,8
2020-03-05,53796,52292,7,414,41,16,12,43,739,8
2020-03-06,55865,53944,7,523,135,17,12,46,913,8
2020-03-07,58358,55539,7,589,135,18,12,76,1669,18
2020-03-08,60694,57388,7,622,118,18,12,76,2134,18
2020-03-09,62494,58804,7,724,118,18,12,76,2394,18
2020-03-10,64404,60181,8,724,247,18,12,101,2731,19
2020-03-11,67003,61644,8,1045,288,25,12,118,2959,19
2020-03-12,68324,62901,12,1045,333,25,12,118,2959,19
2020-03-13,70251,64196,12,1439,510,46,12,118,2959,19
2020-03-14,72624,65660,12,1966,510,46,12,118,2959,19
2020-03-15,76034,67017,12,2335,510,46,12,118,4590,19
2020-03-16,78088,67910,17,2749,1137,67,12,144,4590,21
2020-03-17,80840,68798,17,2941,1407,67,12,144,5389,53
2020-03-18,83312,69755,105,4025,1540,105,12,144,5389,67
2020-03-19,84975,70535,121,4440,1540,113,12,150,5710,67
2020-03-20,87420,71266,147,4440,1540,180,12,191,6745,67
2020-03-21,91692,71857,176,6072,1540,233,12,232,7635,67
2020-03-22,97899,72362,178,7024,2909,266,2206,235,7931,67
2020-03-23,98351,72814,178,7024,2909,266,2206,235,7931,67
2020-03-24,108000,73280,348,8326,3507,3243,3250,285,8913,140
2020-03-25,113787,73773,361,9362,3730,3547,3907,310,9625,140
2020-03-26,122150,74181,681,10361,4144,5673,4955,359,10457,150
2020-03-27,130915,74720,869,10950,4528,6658,5707,372,11133,151
2020-03-28,139415,75100,1072,12384,4811,8481,5724,404,11679,151
2020-03-29,149082,75582,2665,13030,5033,9211,7226,424,12391,151
2020-03-30,164566,75923,5644,14620,5228,13500,7964,424,13911,171
2020-03-31,178034,76206,7024,15729,5408,16100,9513,424,14656,179
2020-04-01,193177,76405,8474,16847,5567,18700,11053,472,15473,179
2020-04-02,210263,76565,9001,18278,5828,22440,12548,472,16711,192
2020-04-03,225796,76760,9707,19758,6021,24575,14135,514,17935,208
2020-04-04,246152,76946,14652,20996,6325,26400,15572,514,19736,215
2020-04-05,260012,77207,17448,21815,6463,28700,16349,514,19736,229
2020-04-06,276515,77310,19581,22837,6598,28700,17428,575,24236,287
2020-04-07,300054,77410,21763,24392,6694,36081,19523,592,27039,325
2020-04-08,328661,77567,23559,26491,6776,46300,21452,622,29812,345
2020-04-09,353975,77679,25410,28470,6973,52407,23413,632,32309,359
2020-04-10,376096,77791,28790,30455,7117,53913,25195,685,35465,588
2020-04-11,402110,77877,31270,32534,7243,57400,26663,762,41947,622
2020-04-12,421722,77956,32988,34211,7368,60300,27469,762,43894,626
2020-04-13,448655,78039,43482,35435,7447,64300,28001,784,45983,304
2020-04-14,474261,78200,47763,37130,7534,68200,29098,799,48129,323
2020-04-15,511019,78311,52096,38092,7616,72600,31470,853,49933,368
2020-04-16,542107,78401,54703,40164,7757,77000,33327,901,52229,375
2020-04-17,568343,77552,58545,42727,7829,83114,35006,935,54064,394
2020-04-18,592319,77614,64840,44927,7937,85400,36587,1069,55987,414
2020-04-19,623903,77690,70337,47055,8042,88000,37183,1159,57023,436
2020-04-20,645905,77745,72329,48877,8114,91500,38036,1159,59273,446
2020-04-21,680390,77799,75204,51600,8213,95200,39819,1239,60965,638
2020-04-22,710502,77861,77366,54543,8277,99400,41326,1356,63113,683
2020-04-23,739409,77983,80203,57576,8501,103300,42762,1494,64843,712
2020-04-24,790081,78109,99079,60498,8635,109800,44271,1530,66599,724
2020-04-25,817838,78175,100372,63120,8717,109800,45372,1656,68193,774
2020-04-26,865733,78277,106988,64928,8764,112000,45681,1809,69657,778
